Property Name,Number
Bandgap (eV),11146
CO2 Permeability (Barrer),1238
Compressive Strength (MPa),3320
Crystallization Temperature (K),5742
Elongation at Break (%),10294
Flexural Strength (MPa),2136
Tg (K),58755
H2 Permeability (Barrer),492
Hardness (MPa),1079
Impact Strength (kJ/m2),2079
Ion Exchange Capacity (meq/g),1091
Limiting Oxygen Index (%),4554
Lower Critical Solution Temperature (K),22555
Tm (K),37725
Methanol Permeability (cm2/s),336
O2 Permeability (Barrer),1238
Refractive Index,7878
Swelling Degree (%),924
Td (K),16325
Tensile Strength (MPa),23841
Thermal Conductivity (W/m K),5119
Upper Critical Solution Temperature (K),355
Water Contact Angle (deg),41698
Water Uptake (%),3062
Young's Modulus (MPa),21035
Dielectric Constant Electronic,295
Dielectric Constant Ionic,295
Dielectric Constant Total,295